timestamp, name, driver_version, utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu
2026/09/22 18:39:35.704, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 3076 MiB, 1911 MHz, 5005 MHz, 97.55 W, 64
2026/09/22 18:39:37.662, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2966 MiB, 1911 MHz, 5005 MHz, 98.21 W, 64
2026/09/22 18:39:39.614, NVIDIA GeForce GTX 1080 Ti, 582.28, 50 %, 3 %, 1824 MiB, 1911 MHz, 5005 MHz, 80.53 W, 63
2026/09/22 18:39:41.568, NVIDIA GeForce GTX 1080 Ti, 582.28, 20 %, 2 %, 2274 MiB, 1911 MHz, 5005 MHz, 80.22 W, 63
2026/09/22 18:39:43.525, NVIDIA GeForce GTX 1080 Ti, 582.28, 5 %, 1 %, 2660 MiB, 1911 MHz, 5005 MHz, 79.52 W, 62
2026/09/22 18:39:45.486, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 2949 MiB, 1911 MHz, 5005 MHz, 99.44 W, 64
2026/09/22 18:39:47.443, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2948 MiB, 1911 MHz, 5005 MHz, 97.82 W, 64
2026/09/22 18:39:51.070, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 2961 MiB, 1911 MHz, 5005 MHz, 98.25 W, 64
2026/09/22 18:39:53.052, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2987 MiB, 1911 MHz, 5005 MHz, 101.14 W, 64
2026/09/22 18:39:55.034, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 2993 MiB, 1911 MHz, 5005 MHz, 99.47 W, 64
2026/09/22 18:39:57.017, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 7 %, 3041 MiB, 1911 MHz, 5005 MHz, 98.85 W, 64
2026/09/22 18:39:58.982, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 3009 MiB, 1911 MHz, 5005 MHz, 100.66 W, 64
2026/09/22 18:40:00.933, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 3003 MiB, 1911 MHz, 5005 MHz, 108.41 W, 65
2026/09/22 18:40:02.884, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3006 MiB, 1911 MHz, 5005 MHz, 99.15 W, 65
2026/09/22 18:40:04.841, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3009 MiB, 1911 MHz, 5005 MHz, 100.75 W, 64
2026/09/22 18:40:06.795, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3069 MiB, 1911 MHz, 5005 MHz, 101.38 W, 65
2026/09/22 18:40:08.689, NVIDIA GeForce GTX 1080 Ti, 582.28, 99 %, 5 %, 3043 MiB, 1911 MHz, 5005 MHz, 104.07 W, 66
2026/09/22 18:40:10.586, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3010 MiB, 1911 MHz, 5005 MHz, 104.83 W, 65
2026/09/22 18:40:12.483, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 7 %, 3010 MiB, 1911 MHz, 5005 MHz, 100.27 W, 65
2026/09/22 18:40:14.444, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3009 MiB, 1911 MHz, 5005 MHz, 101.73 W, 65
2026/09/22 18:40:16.403, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3009 MiB, 1911 MHz, 5005 MHz, 99.60 W, 65
2026/09/22 18:40:18.362, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3009 MiB, 1911 MHz, 5005 MHz, 101.33 W, 65
2026/09/22 18:40:20.322, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3009 MiB, 1911 MHz, 5005 MHz, 101.81 W, 65
