case_id,mesh_id,diagonal,resolution,field_id,field_kind,energy_j,reference_energy_j,energy_relative_error,normalized_energy_error,curvature_relative_l2_error,float32_displacement_energy_j,float32_energy_relative_difference,float32_max_displacement_error_m,normal_force_norm_n,operator_sha256
backward_8_cylinder_090,backward_8,backward,8,cylinder_090,quadratic,0.00020000000000000028,0.0002,1.3552527156068805e-15,1.3552527156068805e-15,1.1163059529593362e-14,0.00019999991655357606,4.1723212111286397e-07,2.2351741985060514e-10,0.20458731482610254,a7e066624f578d122c696088282dd8d3b0c1700998c462500e37edcf93a40f91
backward_8_cylinder_105,backward_8,backward,8,cylinder_105,quadratic,0.0002000000000000002,0.00020000000000000006,6.776263578034401e-16,6.776263578034403e-16,8.494086501153718e-15,0.00020000001335247205,6.676235925857567e-08,4.031273492105525e-10,0.20067566831093528,a7e066624f578d122c696088282dd8d3b0c1700998c462500e37edcf93a40f91
backward_8_cylinder_120,backward_8,backward,8,cylinder_120,quadratic,0.0002000000000000002,0.00019999999999999993,1.355252715606881e-15,1.3552527156068805e-15,5.55664951129041e-15,0.00019999998750901593,6.245492133443574e-08,2.3120502994772307e-10,0.19129547506837258,a7e066624f578d122c696088282dd8d3b0c1700998c462500e37edcf93a40f91
backward_8_cylinder_135,backward_8,backward,8,cylinder_135,quadratic,0.00020000000000000052,0.0002,2.574980159653073e-15,2.574980159653073e-15,4.920848536848594e-15,0.00019999998566473963,7.16763044858631e-08,1.1175870992530257e-10,0.1863234172516349,a7e066624f578d122c696088282dd8d3b0c1700998c462500e37edcf93a40f91
backward_8_cylinder_150,backward_8,backward,8,cylinder_150,quadratic,0.00020000000000000023,0.00019999999999999998,1.2197274440461927e-15,1.2197274440461925e-15,5.47836452329679e-15,0.00019999998750901601,6.24549210633852e-08,2.3120502994772307e-10,0.1912954750683725,a7e066624f578d122c696088282dd8d3b0c1700998c462500e37edcf93a40f91
backward_8_cylinder_165,backward_8,backward,8,cylinder_165,quadratic,0.00020000000000000052,0.00019999999999999996,2.84603070277445e-15,2.846030702774449e-15,7.48843982339651e-15,0.00020000001335247238,6.676235925857557e-08,4.0312735267999944e-10,0.200675668310936,a7e066624f578d122c696088282dd8d3b0c1700998c462500e37edcf93a40f91
backward_8_twist,backward_8,backward,8,twist,quadratic,0.00027999999999999965,0.00028,1.1616451848058977e-15,1.6263032587282567e-15,9.139680286537838e-15,0.000279999998427099,5.617502371007323e-09,4.470348362317633e-10,0.07673330437300349,a7e066624f578d122c696088282dd8d3b0c1700998c462500e37edcf93a40f91
backward_8_dome,backward_8,backward,8,dome,quadratic,0.0005200000000000022,0.0005200000000000001,4.170008355713478e-15,1.0842021724855044e-14,1.406157135109677e-14,0.0005200000436146565,8.38743352198903e-08,4.470348362317633e-10,0.360254601012978,a7e066624f578d122c696088282dd8d3b0c1700998c462500e37edcf93a40f91
backward_8_saddle,backward_8,backward,8,saddle,quadratic,0.00027999999999999954,0.00028000000000000003,1.7424677772088461e-15,2.439454888092385e-15,7.858167115866646e-15,0.0002799999873959936,4.5014306952057066e-08,3.725290301931361e-10,0.19401159759148312,a7e066624f578d122c696088282dd8d3b0c1700998c462500e37edcf93a40f91
backward_8_quartic,backward_8,backward,8,quartic,general,3.077272715665856e-05,3.36e-05,0.08414502509944757,0.014136364216707189,0.13567608029375147,3.0772733615910976e-05,2.0990185187189827e-07,9.499490256914545e-11,0.11138341987584631,a7e066624f578d122c696088282dd8d3b0c1700998c462500e37edcf93a40f91
backward_8_sine,backward_8,backward,8,sine,general,4.5192000770605975e-05,4.8704545517001214e-05,0.07211944407055644,0.017562723731976197,0.2367935877733713,4.519200160818945e-05,1.8533887867708022e-08,4.749745128457272e-11,0.057314024671728726,a7e066624f578d122c696088282dd8d3b0c1700998c462500e37edcf93a40f91
backward_16_cylinder_000,backward_16,backward,16,cylinder_000,quadratic,0.00020000000000000448,0.0002,2.236166980751353e-14,2.236166980751353e-14,4.090166341909682e-14,0.0001999999165537058,4.172314933597973e-07,2.2351741811588166e-10,0.29529640937159846,a26b18c1267c76c74ea67edc793272b166bb9ddb00c40fb7d0915c93d30655a3
backward_16_cylinder_015,backward_16,backward,16,cylinder_015,quadratic,0.00020000000000000633,0.0002,3.1577388273640317e-14,3.1577388273640317e-14,5.927434956004871e-14,0.00019999997485899092,1.2570507704417982e-07,4.624100633648931e-10,0.2868242535481804,a26b18c1267c76c74ea67edc793272b166bb9ddb00c40fb7d0915c93d30655a3
backward_16_cylinder_030,backward_16,backward,16,cylinder_030,quadratic,0.00020000000000000752,0.00019999999999999998,3.7676025493871285e-14,3.767602549387128e-14,7.329660054133513e-14,0.00020000005730014213,2.8650067303920766e-07,8.529163486592495e-10,0.27001998536011806,a26b18c1267c76c74ea67edc793272b166bb9ddb00c40fb7d0915c93d30655a3
backward_16_cylinder_045,backward_16,backward,16,cylinder_045,quadratic,0.00020000000000000722,0.0002,3.604972223514302e-14,3.604972223514302e-14,7.665148576316475e-14,0.00019999997682178293,1.1589112143355165e-07,6.705522526129215e-10,0.26128772064371486,a26b18c1267c76c74ea67edc793272b166bb9ddb00c40fb7d0915c93d30655a3
backward_16_cylinder_060,backward_16,backward,16,cylinder_060,quadratic,0.000200000000000006,0.00020000000000000004,2.9815559743351366e-14,2.981555974335137e-14,7.755694978248596e-14,0.0002000000573001402,2.8650067100633075e-07,8.529163486592495e-10,0.27001998536012145,a26b18c1267c76c74ea67edc793272b166bb9ddb00c40fb7d0915c93d30655a3
backward_16_cylinder_075,backward_16,backward,16,cylinder_075,quadratic,0.00020000000000000364,0.0002,1.81603863891322e-14,1.81603863891322e-14,6.558038314373976e-14,0.0001999999748589881,1.2570507772180788e-07,4.624100616301696e-10,0.28682425354817825,a26b18c1267c76c74ea67edc793272b166bb9ddb00c40fb7d0915c93d30655a3
backward_16_cylinder_090,backward_16,backward,16,cylinder_090,quadratic,0.0002000000000000028,0.0002,1.395910297075087e-14,1.395910297075087e-14,5.1012493626369475e-14,0.00019999991655370416,4.172314932242756e-07,2.2351741985060514e-10,0.29529640937160073,a26b18c1267c76c74ea67edc793272b166bb9ddb00c40fb7d0915c93d30655a3
backward_16_cylinder_105,backward_16,backward,16,cylinder_105,quadratic,0.00020000000000000145,0.00020000000000000006,6.9117888495950884e-15,6.911788849595091e-15,3.693752450553847e-14,0.0002000000369469242,1.847346138095303e-07,4.6401709558052673e-10,0.2882129834897098,a26b18c1267c76c74ea67edc793272b166bb9ddb00c40fb7d0915c93d30655a3
backward_16_cylinder_120,backward_16,backward,16,cylinder_120,quadratic,0.00020000000000000183,0.00019999999999999993,9.486769009248167e-15,9.486769009248164e-15,2.452560795234632e-14,0.0001999999739882037,1.3005899064969884e-07,2.3120502994772307e-10,0.27256918164318905,a26b18c1267c76c74ea67edc793272b166bb9ddb00c40fb7d0915c93d30655a3
backward_16_cylinder_135,backward_16,backward,16,cylinder_135,quadratic,0.00020000000000000118,0.0002,5.827586677109586e-15,5.827586677109586e-15,1.75245106067018e-14,0.000199999989710806,5.144597584310459e-08,1.1175870992530257e-10,0.26432634340210187,a26b18c1267c76c74ea67edc793272b166bb9ddb00c40fb7d0915c93d30655a3
backward_16_cylinder_150,backward_16,backward,16,cylinder_150,quadratic,0.0002000000000000023,0.00019999999999999998,1.1655173354219174e-14,1.1655173354219173e-14,2.2719122159203737e-14,0.00019999997398820389,1.300589921404765e-07,2.3120502994772307e-10,0.2725691816431929,a26b18c1267c76c74ea67edc793272b166bb9ddb00c40fb7d0915c93d30655a3
backward_16_cylinder_165,backward_16,backward,16,cylinder_165,quadratic,0.0002000000000000022,0.00019999999999999996,1.1248597539537112e-14,1.1248597539537109e-14,2.8106253046921815e-14,0.00020000003694692483,1.8473461313190322e-07,4.640170990499737e-10,0.28821298348971386,a26b18c1267c76c74ea67edc793272b166bb9ddb00c40fb7d0915c93d30655a3
backward_16_twist,backward_16,backward,16,twist,quadratic,0.00028000000000000323,0.00028,1.1616451848058978e-14,1.6263032587282567e-14,4.7065882612620624e-14,0.000280000023294146,8.319336701738999e-08,7.450580603862722e-10,0.07673330437300359,a26b18c1267c76c74ea67edc793272b166bb9ddb00c40fb7d0915c93d30655a3
backward_16_dome,backward_16,backward,16,dome,quadratic,0.0005200000000000148,0.0005200000000000001,2.835605681885165e-14,7.37257477290143e-14,6.603603575467325e-14,0.000519999895540921,2.0088287274440413e-07,4.470348362317633e-10,0.5199917091175896,a26b18c1267c76c74ea67edc793272b166bb9ddb00c40fb7d0915c93d30655a3
backward_16_saddle,backward_16,backward,16,saddle,quadratic,0.00028000000000000073,0.00028000000000000003,2.5168979004127777e-15,3.5236570605778894e-15,2.995012294066895e-14,0.00027999995143606997,1.7344260986816429e-07,3.725290301931361e-10,0.28001517816005017,a26b18c1267c76c74ea67edc793272b166bb9ddb00c40fb7d0915c93d30655a3
backward_16_quartic,backward_16,backward,16,quartic,general,3.2817939891134195e-05,3.36e-05,0.023275598478148862,0.003910300544329008,0.0648986861608528,3.2817954411346986e-05,4.4244741867077995e-07,9.499490256914545e-11,0.1747158123675082,a26b18c1267c76c74ea67edc793272b166bb9ddb00c40fb7d0915c93d30655a3
backward_16_sine,backward_16,backward,16,sine,general,4.7934661573978304e-05,4.8704545517001214e-05,0.015807229794479193,0.003849419715114548,0.11791904604579768,4.7934661982011165e-05,8.512271642919954e-09,4.749745128457272e-11,0.04916588269402731,a26b18c1267c76c74ea67edc793272b166bb9ddb00c40fb7d0915c93d30655a3
backward_32_cylinder_000,backward_32,backward,32,cylinder_000,quadratic,0.00020000000000002462,0.0002,1.2305694657710475e-13,1.2305694657710475e-13,1.849556656738042e-13,0.00020000021461973288,1.0730985413143886e-06,3.3527612630646075e-10,0.42176767228866024,9f1c2a1a8c91a7e1073622353879bdc5052422f29cddde565c58ed53fa6aa4a0
backward_32_cylinder_015,backward_32,backward,32,cylinder_015,quadratic,0.00020000000000003232,0.0002,1.6154612370034016e-13,1.6154612370034016e-13,2.406482231836894e-13,0.000199999985332171,7.333930663286562e-08,4.654702439460534e-10,0.4097073985462296,9f1c2a1a8c91a7e1073622353879bdc5052422f29cddde565c58ed53fa6aa4a0
backward_32_cylinder_030,backward_32,backward,32,cylinder_030,quadratic,0.00020000000000003685,0.00019999999999999998,1.8431436932253578e-13,1.8431436932253575e-13,2.6082611075585387e-13,0.00020000010436414486,5.218205400657736e-07,8.943748137923979e-10,0.3851114027056515,9f1c2a1a8c91a7e1073622353879bdc5052422f29cddde565c58ed53fa6aa4a0
